id,name,genres_first,has_remaster,target,age_classif,games_developed,has_parents,games_published,continent_name,onlinecoop,onlinecoopmax,onlinemax,splitscreen,classic_console,less_common_portable_console,mobile,modern_console,others,pc,portable_console,unknown_platforms_name,vr,battle_royale,co_operative,massively_multiplayer_online_mmo,multiplayer,single_player,split_screen,unknown_game_mode,auditory,bird_view_slash_isometric,first_person,side_view,text,third_person,unknown_player_perspectives,virtual_reality,has_global_launch
39434,The Rumble Fish 2,arcade,0,0,No Rating,92.0,0.0,-1.0,Asia,,,,,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
39737,Doc the Destroyer,role-playing-rpg,0,0,No Rating,11.0,0.0,55.0,Unknown,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
40971,Cavelon,arcade,0,0,No Rating,3.0,0.0,3.0,Unknown,0.0,,,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
41895,House Party,role-playing-rpg,0,1,18+,7.0,0.0,7.0,Unknown,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
44736,Actua Tennis,sport,0,0,No Rating,29.0,1.0,33.0,Europe,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
44969,Shadow Madness,role-playing-rpg,0,0,15+,4.0,0.0,100.0,North America,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
45377,Stonkers,strategy,0,0,No Rating,12.0,0.0,57.0,Europe,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
45497,Actua Golf,sport,0,0,All Ages,29.0,1.0,33.0,Europe,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
55017,Phantom Club,adventure,0,0,No Rating,76.0,1.0,182.0,Europe,,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
55163,Resident Evil Village,shooter,0,1,18+,12.0,1.0,-1.0,Asia,,,,,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
55806,Robby's Adventure,adventure,0,0,3+,16.0,0.0,16.0,Unknown,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
57811,Monster Breakout,indie,0,0,No Rating,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
60338,Star Stable,role-playing-rpg,0,0,No Rating,1.0,0.0,-1.0,Europe,1.0,,,0.0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
63346,The Sushi Spinnery,strategy,0,0,3+,77.0,0.0,75.0,Asia,,,,,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
67334,SwordQuest: AirWorld,adventure,0,0,No Rating,32.0,1.0,350.0,North America,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
68964,Actua Ice Hockey,sport,0,0,No Rating,1048.0,0.0,1690.0,Asia,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
71553,Actua Ice Hockey 2,sport,0,0,No Rating,4.0,0.0,36.0,Unknown,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
72268,Crazy Chicken: Wanted,arcade,0,0,12+,2.0,0.0,2.0,Unknown,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
75694,Session: Skate Sim,strategy,0,1,18+,1.0,0.0,-1.0,North America,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
