id,name,genres_first,has_remaster,target,age_classif,games_developed,has_parents,games_published,continent_name,onlinecoop,onlinecoopmax,onlinemax,splitscreen,classic_console,less_common_portable_console,mobile,modern_console,others,pc,portable_console,unknown_platforms_name,vr,battle_royale,co_operative,massively_multiplayer_online_mmo,multiplayer,single_player,split_screen,unknown_game_mode,auditory,bird_view_slash_isometric,first_person,side_view,text,third_person,unknown_player_perspectives,virtual_reality,has_global_launch
386,Final Fantasy XIV Online,role-playing-rpg,0,1,16+,187.0,0.0,962.0,Asia,0.0,,,0.0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1
4444,The Immortal,role-playing-rpg,0,1,12+,125.0,0.0,1346.0,North America,,,,,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
5472,50 Cent: Blood on the Sand,shooter,0,1,18+,5.0,0.0,-1.0,Europe,,,,,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
9254,Subnautica,adventure,0,1,12+,2.0,0.0,7.0,Unknown,,,,,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
10239,Ark: Survival Evolved,role-playing-rpg,1,1,18+,13.0,0.0,13.0,North America,0.0,,,0.0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1
11668,Dollhouse,adventure,0,1,18+,3.0,0.0,55.0,Europe,,,,,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1
14404,Kona,adventure,0,1,16+,6.0,1.0,38.0,Unknown,,,,,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
14678,A Good Snowman is Hard to Build,arcade,0,1,3+,8.0,0.0,11.0,Europe,,,,,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
15829,GetsuFumaDen,hack-and-slash-beat-em-up,0,0,All Ages,1048.0,0.0,1690.0,Asia,,,,,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
16687,Pulsar: Lost Colony,simulator,0,1,No Rating,1.0,0.0,1.0,Unknown,1.0,5.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1
17032,Darkwood,role-playing-rpg,0,1,18+,2.0,0.0,1.0,Europe,,,,,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
17111,Imagine Earth,strategy,0,1,6+,1.0,0.0,1.0,Europe,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
17137,Enigmatis: The Ghosts of Maple Creek,adventure,0,1,12+,48.0,0.0,533.0,North America,0.0,,,0.0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
20864,Assassin's Creed: Liberation HD,adventure,0,1,18+,9.0,1.0,1.0,Europe,,,,,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
22155,Pocket Stables,strategy,0,0,3+,77.0,0.0,75.0,Asia,,,,,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
22323,Cafeteria Nipponica,strategy,0,0,3+,77.0,0.0,75.0,Asia,,,,,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
23501,88 Heroes,indie,0,1,12+,9.0,0.0,1.0,Europe,,,,,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
25555,Shattered: Tale of the Forgotten King,role-playing-rpg,0,1,12+,1.0,0.0,1.0,Europe,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
25581,Iron Harvest,strategy,0,1,18+,2.0,0.0,1.0,Europe,1.0,2.0,,0.0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
26431,Enlisted,shooter,0,1,18+,9.0,0.0,-1.0,Europe,,,,,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1
26564,The Legend of Heroes: Trails of Cold Steel III,turn-based-strategy-tbs,0,1,16+,5.0,0.0,2.0,Unknown,,,,,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
27413,Genesis Noir,adventure,0,1,15+,4.0,0.0,-1.0,North America,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1
28236,Under Leaves,simulator,0,1,3+,3.0,0.0,2.0,Unknown,,,,,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
30947,Castle of No Escape 2,arcade,0,1,12+,2.0,0.0,-1.0,Unknown,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
32354,Pixel Cup Soccer 17,sport,0,1,All Ages,8.0,0.0,3.0,South America,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
32365,Hell Let Loose,strategy,0,1,18+,78.0,0.0,167.0,Europe,1.0,,,0.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
32680,Legion TD 2,strategy,0,1,No Rating,1.0,0.0,1.0,Unknown,0.0,,,0.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
